card_id,title,branch,decision_tier,watch_label,composite_score,assets_mentioned,expected_events,outcome_result,time_to_outcome_min,half_life_min,half_life_remaining_min,outcome_type_match,matched_event,outcome_detail
c4a40fd4-2b72-4469-9a87-d6a8fef94a42,"E2 positioning unwind: (HYPE,BTC) — one-sided OI build + crowding",positioning_unwind,actionable_watch,positioning_unwind_watch,0.865,HYPE|BTC,buy_burst|oi_accumulation|one_sided_oi,hit,25,30,5,True,buy_burst,buy_burst on BTC at min 55 (magnitude=0.742)
12fb42e4-b551-4783-a306-ffe89a6f9a77,"E2 positioning unwind: (HYPE,ETH) — one-sided OI build + crowding",positioning_unwind,research_priority,positioning_unwind_watch,0.7221,HYPE|ETH,buy_burst|oi_accumulation|one_sided_oi,partial,5,30,25,True,buy_burst,"Partial buy_burst on HYPE at min 35 (magnitude=0.635, below 70% threshold)"
4a5c185e-8054-4781-a8c0-a0a5802525b6,"E2 positioning unwind: (HYPE,SOL) — one-sided OI build + crowding",positioning_unwind,research_priority,positioning_unwind_watch,0.7221,HYPE|SOL,buy_burst|oi_accumulation|one_sided_oi,partial,5,30,25,True,buy_burst,"Partial buy_burst on HYPE at min 35 (magnitude=0.635, below 70% threshold)"
12cc642e-3810-468c-b6b3-67a06a3d5a23,"E2 positioning unwind: (HYPE,BTC) — one-sided OI build + crowding",positioning_unwind,research_priority,positioning_unwind_watch,0.6958,HYPE|BTC,buy_burst|oi_accumulation|one_sided_oi,hit,25,30,5,True,buy_burst,buy_burst on BTC at min 55 (magnitude=0.742)
9db2bfbe-567b-4694-89d3-dd762d05087d,"E2 positioning unwind: (HYPE,ETH) — one-sided OI build + crowding",positioning_unwind,research_priority,positioning_unwind_watch,0.6958,HYPE|ETH,buy_burst|oi_accumulation|one_sided_oi,partial,5,30,25,True,buy_burst,"Partial buy_burst on HYPE at min 35 (magnitude=0.635, below 70% threshold)"
904bdd8e-93de-4902-888c-11fb760b9dcb,"E2 positioning unwind: (HYPE,SOL) — one-sided OI build + crowding",positioning_unwind,research_priority,positioning_unwind_watch,0.6958,HYPE|SOL,buy_burst|oi_accumulation|one_sided_oi,partial,5,30,25,True,buy_burst,"Partial buy_burst on HYPE at min 35 (magnitude=0.635, below 70% threshold)"
f7552450-0437-4f16-88e6-93c3b5cbac60,"E1 beta reversion: (BTC,SOL) — no funding shift, no OI expansion",beta_reversion,actionable_watch,beta_reversion_watch,0.8098,BTC|SOL,funding_extreme|buy_burst,hit,25,30,5,True,buy_burst,buy_burst on BTC at min 55 (magnitude=0.742)
b9467a28-b53c-4a33-9fd7-47d3a22e4d8a,"E2 positioning unwind: (HYPE,BTC) — funding pressure regime",positioning_unwind,actionable_watch,positioning_unwind_watch,0.7896,HYPE|BTC,buy_burst|oi_accumulation|one_sided_oi,hit,25,30,5,True,buy_burst,buy_burst on BTC at min 55 (magnitude=0.742)
3811f8b1-b7ef-4193-aa84-3201c55da612,"E2 positioning unwind: (HYPE,ETH) — funding pressure regime",positioning_unwind,research_priority,positioning_unwind_watch,0.6913,HYPE|ETH,buy_burst|oi_accumulation|one_sided_oi,partial,5,30,25,True,buy_burst,"Partial buy_burst on HYPE at min 35 (magnitude=0.635, below 70% threshold)"
50cfb806-7195-47fa-abbc-8f1f41166552,"E2 positioning unwind: (HYPE,SOL) — funding pressure regime",positioning_unwind,research_priority,positioning_unwind_watch,0.6913,HYPE|SOL,buy_burst|oi_accumulation|one_sided_oi,partial,5,30,25,True,buy_burst,"Partial buy_burst on HYPE at min 35 (magnitude=0.635, below 70% threshold)"
