card_id,title,branch,decision_tier,watch_label,composite_score,assets_mentioned,expected_events,outcome_result,time_to_outcome_min,half_life_min,half_life_remaining_min,outcome_type_match,matched_event,outcome_detail
92b02036-2201-4137-8362-e87a5fbf66e0,"E2 positioning unwind: (HYPE,BTC) — one-sided OI build + crowding",positioning_unwind,actionable_watch,positioning_unwind_watch,0.865,HYPE|BTC,buy_burst|oi_accumulation|one_sided_oi,hit,0,30,30,True,buy_burst,buy_burst on HYPE at min 30 (magnitude=0.726)
8e31a9f1-877b-48e0-99d5-b5c251eedfdf,"E2 positioning unwind: (HYPE,ETH) — one-sided OI build + crowding",positioning_unwind,actionable_watch,positioning_unwind_watch,0.745,HYPE|ETH,buy_burst|oi_accumulation|one_sided_oi,hit,0,30,30,True,buy_burst,buy_burst on HYPE at min 30 (magnitude=0.726)
e1f4cf33-adb8-48f8-aa96-a50706751f1b,"E2 positioning unwind: (HYPE,SOL) — one-sided OI build + crowding",positioning_unwind,research_priority,positioning_unwind_watch,0.7221,HYPE|SOL,buy_burst|oi_accumulation|one_sided_oi,hit,0,30,30,True,buy_burst,buy_burst on HYPE at min 30 (magnitude=0.726)
7b35135e-e967-4b43-8d7f-71412efde395,"E2 positioning unwind: (HYPE,BTC) — one-sided OI build + crowding",positioning_unwind,research_priority,positioning_unwind_watch,0.6958,HYPE|BTC,buy_burst|oi_accumulation|one_sided_oi,hit,0,30,30,True,buy_burst,buy_burst on HYPE at min 30 (magnitude=0.726)
f82f2acf-82fd-4e2a-a995-fc797a63d688,"E2 positioning unwind: (HYPE,ETH) — one-sided OI build + crowding",positioning_unwind,research_priority,positioning_unwind_watch,0.6958,HYPE|ETH,buy_burst|oi_accumulation|one_sided_oi,hit,0,30,30,True,buy_burst,buy_burst on HYPE at min 30 (magnitude=0.726)
42e3f58a-fb89-4ca6-a3e0-bd9d681b5e68,"E2 positioning unwind: (HYPE,SOL) — one-sided OI build + crowding",positioning_unwind,research_priority,positioning_unwind_watch,0.6958,HYPE|SOL,buy_burst|oi_accumulation|one_sided_oi,hit,0,30,30,True,buy_burst,buy_burst on HYPE at min 30 (magnitude=0.726)
c8e610e8-6b16-4ff1-a572-d41e7635decb,"E2 positioning unwind: (HYPE,BTC) — funding pressure regime",positioning_unwind,actionable_watch,positioning_unwind_watch,0.8038,HYPE|BTC,buy_burst|oi_accumulation|one_sided_oi,hit,0,30,30,True,buy_burst,buy_burst on HYPE at min 30 (magnitude=0.726)
c3d0e277-6d72-490a-a8f4-837e8c4affdc,"E2 positioning unwind: (HYPE,ETH) — funding pressure regime",positioning_unwind,research_priority,positioning_unwind_watch,0.7055,HYPE|ETH,buy_burst|oi_accumulation|one_sided_oi,hit,0,30,30,True,buy_burst,buy_burst on HYPE at min 30 (magnitude=0.726)
6aeddc51-29d9-4822-a054-9557c9e71507,"E2 positioning unwind: (HYPE,SOL) — funding pressure regime",positioning_unwind,research_priority,positioning_unwind_watch,0.7055,HYPE|SOL,buy_burst|oi_accumulation|one_sided_oi,hit,0,30,30,True,buy_burst,buy_burst on HYPE at min 30 (magnitude=0.726)
afd4a0ef-2ebf-431c-8bd3-12f5d92d6a48,"E2 positioning unwind: (HYPE,BTC) — funding pressure regime",positioning_unwind,research_priority,positioning_unwind_watch,0.6876,HYPE|BTC,buy_burst|oi_accumulation|one_sided_oi,hit,0,30,30,True,buy_burst,buy_burst on HYPE at min 30 (magnitude=0.726)
