card_id,title,branch,decision_tier,watch_label,composite_score,assets_mentioned,expected_events,outcome_result,time_to_outcome_min,half_life_min,half_life_remaining_min,outcome_type_match,matched_event,outcome_detail
2c5fad3d-569c-49b5-9ec6-77e2984aa0e6,"Chain-D1 beta reversion: (HYPE,BTC) break, no flow evidence",beta_reversion,actionable_watch,beta_reversion_watch,0.7725,HYPE|BTC,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['BTC', 'HYPE'] in outcome window [min 30, min 60]."
de106836-ee6b-4d7f-8609-05fa6e522156,"Chain-D1 beta reversion: (HYPE,ETH) break, no flow evidence",beta_reversion,monitor_borderline,beta_reversion_watch,0.6169,HYPE|ETH,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['ETH', 'HYPE'] in outcome window [min 30, min 60]."
c8c60288-69d7-416d-8002-a577e20f8a62,"Chain-D1 beta reversion: (HYPE,SOL) break, no flow evidence",beta_reversion,monitor_borderline,beta_reversion_watch,0.6169,HYPE|SOL,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['HYPE', 'SOL'] in outcome window [min 30, min 60]."
235ee790-c6a7-4a99-83a9-6087b0624147,"Chain-D1 beta reversion: (BTC,ETH) break, no flow evidence",beta_reversion,monitor_borderline,beta_reversion_watch,0.6169,ETH|BTC,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['BTC', 'ETH'] in outcome window [min 30, min 60]."
3a4739b7-4475-43f7-b8e0-bbd4c913ead9,"Chain-D1 beta reversion: (BTC,SOL) break, no flow evidence",beta_reversion,monitor_borderline,beta_reversion_watch,0.6169,BTC|SOL,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['BTC', 'SOL'] in outcome window [min 30, min 60]."
b937dcf8-e753-482c-96bd-b3dcc85ae793,"Chain-D1 beta reversion: (ETH,SOL) break, no flow evidence",beta_reversion,monitor_borderline,beta_reversion_watch,0.6169,ETH|SOL,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['ETH', 'SOL'] in outcome window [min 30, min 60]."
56f72ff2-bc46-41a4-abe9-08b5eef209c3,"Chain-D1 beta reversion: (HYPE,BTC) break, no flow evidence",beta_reversion,monitor_borderline,beta_reversion_watch,0.6068,HYPE|BTC,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['BTC', 'HYPE'] in outcome window [min 30, min 60]."
d6b4dcf3-0594-4142-95b6-b69abb719b60,"Chain-D1 beta reversion: (HYPE,ETH) break, no flow evidence",beta_reversion,baseline_like,monitor_no_action,0.5846,HYPE|ETH,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['ETH', 'HYPE'] in outcome window [min 30, min 60]."
3aa80d1f-d94a-4af2-b4c4-0b2ab3c5ca65,"Chain-D1 beta reversion: (HYPE,SOL) break, no flow evidence",beta_reversion,baseline_like,monitor_no_action,0.5846,HYPE|SOL,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['HYPE', 'SOL'] in outcome window [min 30, min 60]."
e8860987-ae69-4a7f-b36e-704568743571,"Chain-D1 beta reversion: (BTC,ETH) break, no flow evidence",beta_reversion,baseline_like,monitor_no_action,0.5846,ETH|BTC,funding_extreme|buy_burst,miss,,30,-30,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['BTC', 'ETH'] in outcome window [min 30, min 60]."
